Forecast/Hour,TT,sub_station,Region
2023-05-01_00,20.2,ABP,East North East
2023-05-01_01,20.7,ABP,East North East
2023-05-01_02,21.9,ABP,East North East
2023-05-01_03,23.3,ABP,East North East
2023-05-01_04,25.0,ABP,East North East
2023-05-01_05,25.8,ABP,East North East
2023-05-01_06,27.9,ABP,East North East
2023-05-01_07,29.4,ABP,East North East
2023-05-01_08,30.3,ABP,East North East
2023-05-01_09,30.0,ABP,East North East
2023-05-01_10,28.5,ABP,East North East
2023-05-01_11,24.2,ABP,East North East
2023-05-01_12,28.5,ABP,East North East
2023-05-01_13,26.7,ABP,East North East
2023-05-01_14,23.6,ABP,East North East
2023-05-01_15,22.9,ABP,East North East
2023-05-01_16,22.4,ABP,East North East
2023-05-01_17,22.2,ABP,East North East
2023-05-01_18,22.5,ABP,East North East
2023-05-01_19,21.6,ABP,East North East
2023-05-01_20,20.3,ABP,East North East
2023-05-01_21,20.0,ABP,East North East
2023-05-01_22,19.9,ABP,East North East
2023-05-01_23,19.9,ABP,East North East
2023-05-02_00,21.0,ABP,East North East
2023-05-02_01,22.0,ABP,East North East
2023-05-02_02,23.2,ABP,East North East
2023-05-02_03,26.1,ABP,East North East
2023-05-02_04,28.3,ABP,East North East
2023-05-02_05,30.3,ABP,East North East
2023-05-02_06,30.8,ABP,East North East
2023-05-02_07,31.6,ABP,East North East
2023-05-02_08,29.3,ABP,East North East
2023-05-02_09,29.2,ABP,East North East
2023-05-02_10,29.8,ABP,East North East
2023-05-02_11,30.1,ABP,East North East
2023-05-02_12,28.7,ABP,East North East
2023-05-02_13,26.8,ABP,East North East
2023-05-02_14,25.7,ABP,East North East
2023-05-02_15,24.6,ABP,East North East
2023-05-02_16,23.8,ABP,East North East
2023-05-02_17,23.2,ABP,East North East
2023-05-02_18,23.3,ABP,East North East
2023-05-02_19,22.4,ABP,East North East
2023-05-02_20,21.7,ABP,East North East
2023-05-02_21,21.5,ABP,East North East
2023-05-02_22,21.2,ABP,East North East
2023-05-02_23,21.2,ABP,East North East
2023-05-03_00,21.3,ABP,East North East
2023-05-03_01,22.5,ABP,East North East
2023-05-03_02,24.2,ABP,East North East
2023-05-03_03,25.9,ABP,East North East
2023-05-03_04,27.7,ABP,East North East
2023-05-03_05,28.4,ABP,East North East
2023-05-03_06,26.4,ABP,East North East
2023-05-03_07,27.5,ABP,East North East
2023-05-03_08,29.0,ABP,East North East
